Final Reward, Lenght
-135.1960198422268, 252.7
-156.11186080377098, 152.6
-70.65502626972417, 190.2
-302.19928237852696, 391.2
-152.2560290474525, 185.8
-165.93535564123513, 245.8
-200.2251291052267, 371.0
-321.89368738317955, 355.2
-236.65987393793293, 245.8
-327.77667397692284, 345.2
-94.86975165444323, 149.2
-187.8175149762427, 326.5
-122.97354068017133, 156.3
-147.30612595662268, 181.6
-558.7121622902866, 812.3
-20.469683929336934, 49.4
-222.36870271535545, 310.2
-294.0000540898979, 363.8
-146.6383928839993, 260.0
-188.6890040108532, 246.0
-173.01298313466992, 157.4
-314.2864955182095, 353.6
-522.6711737708376, 478.8
-458.60921736875855, 520.6
-178.5377928552476, 277.2
-238.94158504108037, 248.3
-369.5686454030677, 554.4
-93.04991434270761, 167.8
-98.30846362244684, 230.2
-26.363383378319337, 79.3
-102.1886250024265, 145.5
-337.33505029451754, 347.9
-163.10133017564604, 242.3
-303.4290295569841, 375.8
36.38431949299827, 280.4
-522.8349433923756, 566.5
-234.570431456734, 386.6
-130.62053937030305, 330.8
-464.8926824593776, 542.2
-189.02541847138838, 267.4
-357.33545971859775, 451.7
-199.80650283299343, 350.1
-304.56653404034296, 245.0
-258.1421439269228, 360.9
-298.47823402778056, 329.3
-86.94395875113705, 146.3
-22.82428350792596, 52.4
-133.77841153983664, 172.3
-86.96361202281989, 213.7
-266.3494121772027, 338.7
-110.6183122157726, 158.4
-164.22173310781946, 334.2
-228.8955756018441, 287.3
-259.01877270022385, 304.1
-170.80579394260445, 247.6
-37.08132794907565, 156.5
-230.78883770772637, 464.9
-225.99934555592873, 255.3
-248.988836612424, 337.3
-549.7991424518044, 480.3
-146.08313275316323, 212.6
-262.11289291324744, 357.9
-206.14339235852236, 207.4
-205.18458385964828, 262.4
-116.86681189653866, 139.2
-27.181233950445197, 63.2
-173.19667855717498, 245.0
-131.90117842787072, 135.1
-160.52752197092786, 262.1
-26.186045691730044, 55.1
-140.4220124072005, 184.9
-245.21437273557802, 291.1
-343.396384718471, 377.7
-23.234819187731077, 62.1
-128.33466844737285, 332.7
-241.93430808932786, 246.1
-238.05498478720293, 239.3
-282.9871658473493, 357.0
-74.30874933948101, 101.0
